Date,Ticker,Adj Close,Close,High,Low,Open,Volume,Sentiment Negative,Sentiment Neutral,Sentiment Positive
2022-04-07,BBRI.JK,4135.18505859375,4630.0,4670.0,4620.0,4670.0,91942500,0,1,0
2022-04-07,BMRI.JK,3484.8115234375,3850.0,3887.5,3812.5,3837.5,136162800,0,0,1
2022-04-06,BBCA.JK,7362.9677734375,7750.0,7850.0,7750.0,7825.0,119263000,0,1,0
2022-04-06,BMRI.JK,3473.4970703125,3837.5,3900.0,3825.0,3900.0,129476400,0,1,1
2022-04-06,BDMN.JK,2203.883056640625,2400.0,2410.0,2380.0,2380.0,1759000,1,0,0
2022-04-06,BBRI.JK,4108.390625,4600.0,4690.0,4600.0,4690.0,111009800,0,2,0
2022-04-05,BBCA.JK,7505.4765625,7900.0,7900.0,7850.0,7900.0,48528300,0,1,0
2022-04-05,BDMN.JK,2185.51708984375,2380.0,2400.0,2360.0,2400.0,2453000,1,0,0
2022-04-05,BBRI.JK,4197.70361328125,4700.0,4740.0,4670.0,4730.0,76154300,0,1,0
2022-04-05,BMRI.JK,3541.383056640625,3912.5,3937.5,3900.0,3900.0,82378200,0,1,1
2022-04-04,BBCA.JK,7505.4765625,7900.0,7925.0,7825.0,7925.0,57321200,0,1,0
2022-04-04,BDMN.JK,2188.88720703125,2440.0,2450.0,2430.0,2450.0,4404100,1,0,0
2022-04-04,BBRI.JK,4197.70361328125,4700.0,4730.0,4660.0,4730.0,103902000,0,1,2
2022-04-04,BMRI.JK,3541.383056640625,3912.5,3950.0,3887.5,3912.5,82013800,0,1,1
2022-04-01,BDMN.JK,2188.88720703125,2440.0,2450.0,2420.0,2440.0,1779400,1,0,0
2022-04-01,BBCA.JK,7529.228515625,7925.0,8075.0,7850.0,8075.0,105575400,1,0,0
2022-04-01,BMRI.JK,3564.01171875,3937.5,3950.0,3887.5,3950.0,62912400,0,0,4
2022-04-01,BBRI.JK,4224.49755859375,4730.0,4730.0,4630.0,4690.0,145105000,0,2,2
2022-03-31,BDMN.JK,2188.88720703125,2440.0,2470.0,2420.0,2430.0,2178100,1,0,0
2022-03-31,BBCA.JK,7576.73095703125,7975.0,8000.0,7875.0,7925.0,112691900,1,0,0
2022-03-31,BBRI.JK,4161.978515625,4660.0,4750.0,4660.0,4700.0,158650000,0,1,2
2022-03-31,BMRI.JK,3575.325927734375,3950.0,3987.5,3925.0,3962.5,69174000,0,0,4
2022-03-30,BDMN.JK,2188.88720703125,2440.0,2440.0,2390.0,2430.0,3201600,1,0,0
2022-03-30,BMRI.JK,3564.01171875,3937.5,3987.5,3925.0,3975.0,82476000,0,0,4
2022-03-30,BBCA.JK,7481.724609375,7875.0,7900.0,7825.0,7900.0,71430600,1,0,0
2022-03-30,BBRI.JK,4206.63525390625,4710.0,4740.0,4690.0,4740.0,83364400,0,2,0
2022-03-29,BBCA.JK,7457.9736328125,7850.0,7900.0,7825.0,7875.0,62180600,1,0,0
2022-03-29,BMRI.JK,3586.640380859375,3962.5,4012.5,3937.5,3987.5,160112200,0,0,4
2022-03-29,BDMN.JK,2170.945556640625,2420.0,2450.0,2380.0,2420.0,3180300,1,0,0
2022-03-29,BBRI.JK,4188.77197265625,4690.0,4750.0,4670.0,4750.0,93155100,0,1,0
2022-03-28,BBCA.JK,7505.4765625,7900.0,7900.0,7800.0,7825.0,83911500,3,0,0
2022-03-28,BBRI.JK,4224.49755859375,4730.0,4740.0,4670.0,4730.0,106801800,0,3,0
2022-03-28,BDMN.JK,2170.945556640625,2420.0,2420.0,2350.0,2350.0,3393300,1,0,0
2022-03-28,BMRI.JK,3564.01171875,3937.5,3950.0,3900.0,3937.5,95354400,0,0,4
2022-03-25,BBRI.JK,4206.63525390625,4710.0,4760.0,4650.0,4760.0,137104800,0,0,2
2022-03-25,BBCA.JK,7438.97265625,7950.0,7950.0,7900.0,7900.0,85101200,1,1,4
2022-03-25,BMRI.JK,3552.697265625,3925.0,3987.5,3887.5,3975.0,136083000,0,0,4
2022-03-25,BDMN.JK,2108.149658203125,2350.0,2370.0,2340.0,2340.0,3420300,1,0,0
2022-03-24,BBCA.JK,7415.57958984375,7925.0,7950.0,7800.0,7850.0,95245100,1,1,4
2022-03-24,BDMN.JK,2108.149658203125,2350.0,2360.0,2310.0,2320.0,1735200,1,0,0
2022-03-24,BBRI.JK,4224.49755859375,4730.0,4730.0,4620.0,4640.0,206271600,0,1,0
2022-03-24,BMRI.JK,3586.640380859375,3962.5,3962.5,3850.0,3850.0,210909800,0,0,4
2022-03-23,BBCA.JK,7392.1865234375,7900.0,7950.0,7825.0,7925.0,82208000,1,1,4
2022-03-23,BDMN.JK,2072.26611328125,2310.0,2370.0,2310.0,2370.0,1202000,1,0,0
2022-03-23,BBRI.JK,4153.04736328125,4650.0,4690.0,4620.0,4680.0,146545100,0,1,0
2022-03-23,BMRI.JK,3518.75439453125,3887.5,3900.0,3825.0,3837.5,183894800,0,0,4
2022-03-22,BMRI.JK,3473.4970703125,3837.5,3875.0,3825.0,3850.0,112672400,0,0,4
2022-03-22,BBCA.JK,7415.57958984375,7925.0,7950.0,7875.0,7900.0,60010900,1,1,4
2022-03-22,BBRI.JK,4144.1162109375,4640.0,4710.0,4640.0,4690.0,177758500,0,1,6
2022-03-22,BDMN.JK,2072.26611328125,2310.0,2380.0,2310.0,2310.0,1370900,1,0,0
2022-03-21,BDMN.JK,2072.26611328125,2310.0,2340.0,2310.0,2310.0,665900,1,0,0
2022-03-21,BBCA.JK,7392.1865234375,7900.0,7950.0,7800.0,7800.0,85485500,0,1,0
2022-03-21,BBRI.JK,4099.45947265625,4590.0,4630.0,4560.0,4600.0,118791900,0,1,2
2022-03-21,BMRI.JK,3462.182861328125,3825.0,3862.5,3800.0,3837.5,162364400,0,0,1
2022-03-18,BBCA.JK,7392.1865234375,7900.0,8100.0,7900.0,8000.0,143981700,0,1,0
2022-03-18,BDMN.JK,2072.26611328125,2310.0,2340.0,2310.0,2320.0,528900,1,0,0
2022-03-18,BMRI.JK,3423.42626953125,3962.5,4000.0,3937.5,3987.5,212233400,0,0,1
2022-03-18,BBRI.JK,4090.5283203125,4580.0,4700.0,4580.0,4700.0,257863400,0,1,1
2022-03-17,BBRI.JK,4153.04736328125,4650.0,4700.0,4610.0,4690.0,224068000,0,0,2
2022-03-17,BDMN.JK,2081.2373046875,2320.0,2350.0,2310.0,2320.0,962600,1,0,0
2022-03-17,BBCA.JK,7485.7587890625,8000.0,8300.0,8000.0,8300.0,132439400,0,1,0
2022-03-17,BMRI.JK,3434.225830078125,3975.0,4050.0,3975.0,4000.0,235559000,0,0,1
2022-03-16,BDMN.JK,2081.2373046875,2320.0,2330.0,2300.0,2300.0,732500,1,0,0
